숙연,-0.59,-0.3,슬픔
신통찮,-0.36,-0.48,지루함
심드렁하,-0.34,-0.4,지루함
심려하,-0.65,-0.25,슬픔
쌩끗,0.6,0.65,기쁨
씰룩거리,0.65,0.62,기쁨
아연실색,-0.1,0.68,놀람
알쏭달쏭,0.36,0.16,흥미
애끓,-0.78,-0.38,슬픔
와들와들,-0.64,0.68,공포
으스스,-0.59,0.53,공포
절절,-0.66,-0.29,슬픔
진노,-0.66,0.54,분노
측은,-0.73,-0.31,슬픔
치떨리,-0.85,0.39,분노
치욕,-0.83,0.35,분노
킬킬거,0.43,0.65,기쁨
탄복,-0.75,-0.22,슬픔
질겁,-0.16,0.9,공포 놀람
초연,-0.4,-0.09,중성 슬픔
가고파,0.26,0.18,흥미 슬픔
개운찮,-0.33,0,기타 중성
계면쩍,-0.28,-0.02,기타 중성
고취되,0.36,0.8,기쁨 흥미
곤혹스럽,-0.24,0.39,놀람 슬픔
고단,-0.67,-0.53,슬픔 통증 지루함
